,track_id,track,track_popularity,data_added,top_year,album_name,album_release_year,genre,artists_name,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
48,4Y8q64VnhD0vFYy9g2WFpi,It Feels So Good,67.0,2020-08-07T08:16:37Z,2000.0,It Feels So Good,2000-08-24,[],Sonique,240866.0,0.634,0.677,-7.278,0.0304,0.0117,0.00103,0.126,0.558,135.012
49,5Aa33rAPkp7f7l1aVqsHO8,Fool Again,66.0,2020-08-07T08:16:37Z,2000.0,Fool Again,1999-11-01,[],Westlife,234866.0,0.533,0.512,-6.851,0.0288,0.0475,0.0,0.0442,0.553,75.984
50,3w8Mw9GHYepoTWOSdiyosj,Incomplete,66.0,2020-08-07T08:16:37Z,2000.0,Incomplete,1999-11-30,[],Sisqo,274226.0,0.746,0.443,-7.693,0.0771,0.282,0.0,0.14,0.272,119.311
51,1sxUaLi0G2vB7dl4ogtCxH,Never Let You Go - 2008 Remaster,66.0,2020-08-07T08:16:37Z,2000.0,Never Let You Go - 2008 Remaster,1999-11-23,[],Third Eye Blind,237240.0,0.728,0.94,-5.034,0.0368,0.0814,0.000162,0.109,0.967,113.76
52,7A0apkTSTvMbSI7yplcmlh,Come on over Baby (All I Want Is You) - Radio Version,66.0,2020-08-07T08:16:37Z,2000.0,Come on over Baby (All I Want Is You) - Radio Version,1999,[],Christina Aguilera,203333.0,0.829,0.915,-3.205,0.106,0.226,1.25e-05,0.246,0.779,118.903
53,65B1tEOv5W294uCKbmEcFV,I Hope You Dance,66.0,2020-08-07T08:16:37Z,2000.0,I Hope You Dance,2000-01-01,[],Lee Ann Womack,294533.0,0.385,0.443,-9.627,0.0295,0.0632,0.0,0.0898,0.275,151.278
54,6q4aoWgTQ8td2AvqQXuFqm,Take A Picture,65.0,2020-08-07T08:16:37Z,2000.0,Take A Picture,1999-08-24,[],Filter,363800.0,0.541,0.776,-8.042,0.0298,0.00147,0.000221,0.178,0.282,98.986
55,4l1MNtoCiTxBwf6yxD7kFd,Born to Make You Happy,64.0,2020-08-07T08:16:37Z,2000.0,Born to Make You Happy,1999-01-12,[],Britney Spears,243533.0,0.633,0.922,-4.842,0.0454,0.116,0.000465,0.071,0.686,84.11
56,7JKEA8xYDoFp4q0QBW2PGg,Shackles (Praise You),64.0,2020-08-07T08:16:37Z,2000.0,Shackles (Praise You),2000,[],Mary Mary,198346.0,0.779,0.834,-2.773,0.162,0.0343,0.0,0.0886,0.8,100.46
57,5bGmuxShUba9maPswDnhCs,What a Girl Wants,66.0,2020-08-07T08:16:37Z,2000.0,What a Girl Wants,1999,[],Christina Aguilera,215800.0,0.754,0.819,-6.833,0.112,0.0684,0.0,0.345,0.818,142.137
